industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
05 : Mining of coal and lignite,05,Mining of coal and lignite,2019,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
05 : Mining of coal and lignite,05,Mining of coal and lignite,2020,0,10,5,0,0,0,0,0,NA,0,0,0,0,NA,0
05 : Mining of coal and lignite,05,Mining of coal and lignite,2021,0,10,5,0,0,0,0,NA,NA,0,0,0,NA,NA,0
05 : Mining of coal and lignite,05,Mining of coal and lignite,2022,0,10,5,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0
05 : Mining of coal and lignite,05,Mining of coal and lignite,2023,0,5,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
06 : Extraction of crude petroleum and natural gas,06,Extraction of crude petroleum and natural gas,2019,25,170,40,15,80,80,40,40,20,20,20,10,10,5,0
06 : Extraction of crude petroleum and natural gas,06,Extraction of crude petroleum and natural gas,2020,20,160,40,15,100,75,50,50,NA,20,15,10,10,NA,0
06 : Extraction of crude petroleum and natural gas,06,Extraction of crude petroleum and natural gas,2021,15,155,40,15,100,66.6666666666667,66.6666666666667,NA,NA,15,10,10,NA,NA,5
06 : Extraction of crude petroleum and natural gas,06,Extraction of crude petroleum and natural gas,2022,15,145,35,15,100,100,NA,NA,NA,15,15,NA,NA,NA,5
06 : Extraction of crude petroleum and natural gas,06,Extraction of crude petroleum and natural gas,2023,5,125,30,20,100,NA,NA,NA,NA,5,NA,NA,NA,NA,5
07 : Mining of metal ores,07,Mining of metal ores,2019,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
07 : Mining of metal ores,07,Mining of metal ores,2020,0,5,0,0,0,0,0,0,NA,0,0,0,0,NA,0
07 : Mining of metal ores,07,Mining of metal ores,2021,5,5,0,0,100,100,0,NA,NA,5,5,0,NA,NA,0
07 : Mining of metal ores,07,Mining of metal ores,2022,0,5,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0
07 : Mining of metal ores,07,Mining of metal ores,2023,0,10,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
08 : Other mining and quarrying,08,Other mining and quarrying,2019,55,755,200,45,100,81.8181818181818,54.5454545454545,54.5454545454545,45.4545454545455,55,45,30,30,25,20
08 : Other mining and quarrying,08,Other mining and quarrying,2020,55,760,205,50,81.8181818181818,72.7272727272727,45.4545454545455,36.3636363636364,NA,45,40,25,20,NA,15
08 : Other mining and quarrying,08,Other mining and quarrying,2021,70,765,210,40,92.8571428571429,57.1428571428571,35.7142857142857,NA,NA,65,40,25,NA,NA,5
08 : Other mining and quarrying,08,Other mining and quarrying,2022,75,790,200,65,93.3333333333333,60,NA,NA,NA,70,45,NA,NA,NA,0
08 : Other mining and quarrying,08,Other mining and quarrying,2023,50,785,200,55,90,NA,NA,NA,NA,45,NA,NA,NA,NA,5
09 : Mining support service activities,09,Mining support service activities,2019,65,450,90,40,84.6153846153846,69.2307692307692,53.8461538461538,38.4615384615385,38.4615384615385,55,45,35,25,25,0
09 : Mining support service activities,09,Mining support service activities,2020,40,435,80,40,75,62.5,50,37.5,NA,30,25,20,15,NA,0
09 : Mining support service activities,09,Mining support service activities,2021,35,425,75,40,100,85.7142857142857,71.4285714285714,NA,NA,35,30,25,NA,NA,5
09 : Mining support service activities,09,Mining support service activities,2022,30,410,75,50,83.3333333333333,83.3333333333333,NA,NA,NA,25,25,NA,NA,NA,5
09 : Mining support service activities,09,Mining support service activities,2023,50,405,85,40,90,NA,NA,NA,NA,45,NA,NA,NA,NA,5
10 : Manufacture of food products,10,Manufacture of food products,2019,1050,9215,2775,785,95.7142857142857,77.6190476190476,62.3809523809524,52.3809523809524,45.2380952380952,1005,815,655,550,475,140
10 : Manufacture of food products,10,Manufacture of food products,2020,1190,9615,2755,710,94.5378151260504,79.4117647058823,62.1848739495798,51.2605042016807,NA,1125,945,740,610,NA,125
10 : Manufacture of food products,10,Manufacture of food products,2021,1530,10390,2810,720,94.7712418300653,73.8562091503268,57.1895424836601,NA,NA,1450,1130,875,NA,NA,115
10 : Manufacture of food products,10,Manufacture of food products,2022,1530,11075,2880,1160,85.2941176470588,53.921568627451,NA,NA,NA,1305,825,NA,NA,NA,130
10 : Manufacture of food products,10,Manufacture of food products,2023,980,10760,2900,1340,91.3265306122449,NA,NA,NA,NA,895,NA,NA,NA,NA,150
11 : Manufacture of beverages,11,Manufacture of beverages,2019,415,2835,420,235,96.3855421686747,78.3132530120482,63.855421686747,56.6265060240964,48.1927710843374,400,325,265,235,200,35
11 : Manufacture of beverages,11,Manufacture of beverages,2020,385,2965,435,210,92.2077922077922,70.1298701298701,57.1428571428571,48.0519480519481,NA,355,270,220,185,NA,35
11 : Manufacture of beverages,11,Manufacture of beverages,2021,375,3105,440,250,93.3333333333333,70.6666666666667,58.6666666666667,NA,NA,350,265,220,NA,NA,35
11 : Manufacture of beverages,11,Manufacture of beverages,2022,280,3115,510,255,91.0714285714286,69.6428571428571,NA,NA,NA,255,195,NA,NA,NA,40
11 : Manufacture of beverages,11,Manufacture of beverages,2023,280,3110,515,300,91.0714285714286,NA,NA,NA,NA,255,NA,NA,NA,NA,40
12 : Manufacture of tobacco products,12,Manufacture of tobacco products,2019,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
12 : Manufacture of tobacco products,12,Manufacture of tobacco products,2020,0,5,5,0,0,0,0,0,NA,0,0,0,0,NA,0
12 : Manufacture of tobacco products,12,Manufacture of tobacco products,2021,5,15,5,0,100,100,100,NA,NA,5,5,5,NA,NA,0
12 : Manufacture of tobacco products,12,Manufacture of tobacco products,2022,0,5,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0
12 : Manufacture of tobacco products,12,Manufacture of tobacco products,2023,0,5,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
13 : Manufacture of textiles,13,Manufacture of textiles,2019,485,4885,975,560,92.7835051546392,74.2268041237113,54.639175257732,46.3917525773196,41.2371134020619,450,360,265,225,200,25
13 : Manufacture of textiles,13,Manufacture of textiles,2020,465,4745,940,445,95.6989247311828,75.2688172043011,56.989247311828,45.1612903225806,NA,445,350,265,210,NA,25
13 : Manufacture of textiles,13,Manufacture of textiles,2021,510,4800,945,355,93.1372549019608,72.5490196078431,57.843137254902,NA,NA,475,370,295,NA,NA,20
13 : Manufacture of textiles,13,Manufacture of textiles,2022,540,4980,920,465,90.7407407407407,66.6666666666667,NA,NA,NA,490,360,NA,NA,NA,15
13 : Manufacture of textiles,13,Manufacture of textiles,2023,385,4835,915,460,92.2077922077922,NA,NA,NA,NA,355,NA,NA,NA,NA,15
14 : Manufacture of wearing apparel,14,Manufacture of wearing apparel,2019,570,4475,710,560,95.6140350877193,74.5614035087719,55.2631578947368,42.1052631578947,34.2105263157895,545,425,315,240,195,15
14 : Manufacture of wearing apparel,14,Manufacture of wearing apparel,2020,695,4630,670,505,94.2446043165468,71.9424460431655,45.3237410071942,33.0935251798561,NA,655,500,315,230,NA,15
14 : Manufacture of wearing apparel,14,Manufacture of wearing apparel,2021,680,4910,635,525,93.3823529411765,64.7058823529412,48.5294117647059,NA,NA,635,440,330,NA,NA,15
14 : Manufacture of wearing apparel,14,Manufacture of wearing apparel,2022,445,4715,585,770,93.2584269662921,60.6741573033708,NA,NA,NA,415,270,NA,NA,NA,15
14 : Manufacture of wearing apparel,14,Manufacture of wearing apparel,2023,345,4295,490,620,91.304347826087,NA,NA,NA,NA,315,NA,NA,NA,NA,20
15 : Manufacture of leather and related products,15,Manufacture of leather and related products,2019,70,705,115,85,92.8571428571429,78.5714285714286,50,50,35.7142857142857,65,55,35,35,25,5
15 : Manufacture of leather and related products,15,Manufacture of leather and related products,2020,85,695,110,70,88.2352941176471,64.7058823529412,47.0588235294118,35.2941176470588,NA,75,55,40,30,NA,5
15 : Manufacture of leather and related products,15,Manufacture of leather and related products,2021,90,715,105,70,88.8888888888889,66.6666666666667,44.4444444444444,NA,NA,80,60,40,NA,NA,5
15 : Manufacture of leather and related products,15,Manufacture of leather and related products,2022,90,720,110,75,94.4444444444444,61.1111111111111,NA,NA,NA,85,55,NA,NA,NA,0
15 : Manufacture of leather and related products,15,Manufacture of leather and related products,2023,55,690,105,95,90.9090909090909,NA,NA,NA,NA,50,NA,NA,NA,NA,5
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2019,925,10300,1335,960,93.5135135135135,80,68.6486486486486,60,51.8918918918919,865,740,635,555,480,45
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2020,945,10370,1310,730,94.7089947089947,80.9523809523809,65.0793650793651,57.1428571428571,NA,895,765,615,540,NA,50
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2021,1450,11280,1330,690,95.1724137931034,78.6206896551724,63.448275862069,NA,NA,1380,1140,920,NA,NA,35
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2022,1285,11705,1400,1070,93.7743190661479,74.7081712062257,NA,NA,NA,1205,960,NA,NA,NA,35
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2023,965,11560,1375,1090,94.8186528497409,NA,NA,NA,NA,915,NA,NA,NA,NA,40
17 : Manufacture of paper and paper products,17,Manufacture of paper and paper products,2019,125,1485,590,110,92,76,60,52,44,115,95,75,65,55,25
