"industry_raw","industry_code","industry_level","year","active_enterprises_10plus_employees"
"05 : Mining of coal and lignite","05","division","2019",10
"05 : Mining of coal and lignite","05","division","2020",5
"05 : Mining of coal and lignite","05","division","2021",5
"05 : Mining of coal and lignite","05","division","2022",5
"05 : Mining of coal and lignite","05","division","2023",0
"05 : Mining of coal and lignite","05","division","2024",0
"051 : Mining of hard coal","051","group","2019",10
"051 : Mining of hard coal","051","group","2020",5
"051 : Mining of hard coal","051","group","2021",5
"051 : Mining of hard coal","051","group","2022",5
"051 : Mining of hard coal","051","group","2023",0
"051 : Mining of hard coal","051","group","2024",0
"052 : Mining of lignite","052","group","2019",0
"052 : Mining of lignite","052","group","2020",0
"052 : Mining of lignite","052","group","2021",0
"052 : Mining of lignite","052","group","2022",0
"052 : Mining of lignite","052","group","2023",0
"052 : Mining of lignite","052","group","2024",0
"06 : Extraction of crude petroleum and natural gas","06","division","2019",40
"06 : Extraction of crude petroleum and natural gas","06","division","2020",40
"06 : Extraction of crude petroleum and natural gas","06","division","2021",40
"06 : Extraction of crude petroleum and natural gas","06","division","2022",35
"06 : Extraction of crude petroleum and natural gas","06","division","2023",30
"06 : Extraction of crude petroleum and natural gas","06","division","2024",30
"061 : Extraction of crude petroleum","061","group","2019",35
"061 : Extraction of crude petroleum","061","group","2020",40
"061 : Extraction of crude petroleum","061","group","2021",40
"061 : Extraction of crude petroleum","061","group","2022",35
"061 : Extraction of crude petroleum","061","group","2023",30
"061 : Extraction of crude petroleum","061","group","2024",30
"062 : Extraction of natural gas","062","group","2019",5
"062 : Extraction of natural gas","062","group","2020",0
"062 : Extraction of natural gas","062","group","2021",0
"062 : Extraction of natural gas","062","group","2022",0
"062 : Extraction of natural gas","062","group","2023",0
"062 : Extraction of natural gas","062","group","2024",0
"07 : Mining of metal ores","07","division","2019",0
"07 : Mining of metal ores","07","division","2020",0
"07 : Mining of metal ores","07","division","2021",0
"07 : Mining of metal ores","07","division","2022",0
"07 : Mining of metal ores","07","division","2023",0
"07 : Mining of metal ores","07","division","2024",0
"071 : Mining of iron ores","071","group","2019",0
"071 : Mining of iron ores","071","group","2020",0
"071 : Mining of iron ores","071","group","2021",0
"071 : Mining of iron ores","071","group","2022",0
"071 : Mining of iron ores","071","group","2023",0
"071 : Mining of iron ores","071","group","2024",0
"072 : Mining of non-ferrous metal ores","072","group","2019",0
"072 : Mining of non-ferrous metal ores","072","group","2020",0
"072 : Mining of non-ferrous metal ores","072","group","2021",0
"072 : Mining of non-ferrous metal ores","072","group","2022",0
"072 : Mining of non-ferrous metal ores","072","group","2023",0
"072 : Mining of non-ferrous metal ores","072","group","2024",0
"08 : Other mining and quarrying","08","division","2019",200
"08 : Other mining and quarrying","08","division","2020",205
"08 : Other mining and quarrying","08","division","2021",210
"08 : Other mining and quarrying","08","division","2022",200
"08 : Other mining and quarrying","08","division","2023",200
"08 : Other mining and quarrying","08","division","2024",200
"081 : Quarrying of stone, sand and clay","081","group","2019",165
"081 : Quarrying of stone, sand and clay","081","group","2020",165
"081 : Quarrying of stone, sand and clay","081","group","2021",165
"081 : Quarrying of stone, sand and clay","081","group","2022",160
"081 : Quarrying of stone, sand and clay","081","group","2023",155
"081 : Quarrying of stone, sand and clay","081","group","2024",155
"089 : Mining and quarrying n.e.c.","089","group","2019",35
"089 : Mining and quarrying n.e.c.","089","group","2020",40
"089 : Mining and quarrying n.e.c.","089","group","2021",45
"089 : Mining and quarrying n.e.c.","089","group","2022",40
"089 : Mining and quarrying n.e.c.","089","group","2023",45
"089 : Mining and quarrying n.e.c.","089","group","2024",45
"09 : Mining support service activities","09","division","2019",90
"09 : Mining support service activities","09","division","2020",80
"09 : Mining support service activities","09","division","2021",75
"09 : Mining support service activities","09","division","2022",75
"09 : Mining support service activities","09","division","2023",85
"09 : Mining support service activities","09","division","2024",80
"091 : Support activities for petroleum and natural gas extraction","091","group","2019",75
"091 : Support activities for petroleum and natural gas extraction","091","group","2020",65
"091 : Support activities for petroleum and natural gas extraction","091","group","2021",60
"091 : Support activities for petroleum and natural gas extraction","091","group","2022",60
"091 : Support activities for petroleum and natural gas extraction","091","group","2023",70
"091 : Support activities for petroleum and natural gas extraction","091","group","2024",60
"099 : Support activities for other mining and quarrying","099","group","2019",15
"099 : Support activities for other mining and quarrying","099","group","2020",15
"099 : Support activities for other mining and quarrying","099","group","2021",15
"099 : Support activities for other mining and quarrying","099","group","2022",15
"099 : Support activities for other mining and quarrying","099","group","2023",15
"099 : Support activities for other mining and quarrying","099","group","2024",20
"10 : Manufacture of food products","10","division","2019",2775
"10 : Manufacture of food products","10","division","2020",2755
"10 : Manufacture of food products","10","division","2021",2810
"10 : Manufacture of food products","10","division","2022",2880
"10 : Manufacture of food products","10","division","2023",2900
"10 : Manufacture of food products","10","division","2024",2930
"101 : Processing and preserving of meat and production of meat products","101","group","2019",410
"101 : Processing and preserving of meat and production of meat products","101","group","2020",415
"101 : Processing and preserving of meat and production of meat products","101","group","2021",410
"101 : Processing and preserving of meat and production of meat products","101","group","2022",410
"101 : Processing and preserving of meat and production of meat products","101","group","2023",410
"101 : Processing and preserving of meat and production of meat products","101","group","2024",400
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2019",145
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2020",140
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2021",145
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2022",145
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2023",145
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2024",145
