"industry_raw","industry_code","industry_level","year","active_enterprises"
"05 : Mining of coal and lignite","05","division","2019",15
"05 : Mining of coal and lignite","05","division","2020",10
"05 : Mining of coal and lignite","05","division","2021",10
"05 : Mining of coal and lignite","05","division","2022",10
"05 : Mining of coal and lignite","05","division","2023",5
"05 : Mining of coal and lignite","05","division","2024",10
"051 : Mining of hard coal","051","group","2019",15
"051 : Mining of hard coal","051","group","2020",10
"051 : Mining of hard coal","051","group","2021",10
"051 : Mining of hard coal","051","group","2022",10
"051 : Mining of hard coal","051","group","2023",5
"051 : Mining of hard coal","051","group","2024",10
"052 : Mining of lignite","052","group","2019",0
"052 : Mining of lignite","052","group","2020",0
"052 : Mining of lignite","052","group","2021",0
"052 : Mining of lignite","052","group","2022",0
"052 : Mining of lignite","052","group","2023",0
"052 : Mining of lignite","052","group","2024",0
"06 : Extraction of crude petroleum and natural gas","06","division","2019",170
"06 : Extraction of crude petroleum and natural gas","06","division","2020",160
"06 : Extraction of crude petroleum and natural gas","06","division","2021",155
"06 : Extraction of crude petroleum and natural gas","06","division","2022",145
"06 : Extraction of crude petroleum and natural gas","06","division","2023",125
"06 : Extraction of crude petroleum and natural gas","06","division","2024",125
"061 : Extraction of crude petroleum","061","group","2019",80
"061 : Extraction of crude petroleum","061","group","2020",70
"061 : Extraction of crude petroleum","061","group","2021",70
"061 : Extraction of crude petroleum","061","group","2022",70
"061 : Extraction of crude petroleum","061","group","2023",60
"061 : Extraction of crude petroleum","061","group","2024",65
"062 : Extraction of natural gas","062","group","2019",90
"062 : Extraction of natural gas","062","group","2020",90
"062 : Extraction of natural gas","062","group","2021",85
"062 : Extraction of natural gas","062","group","2022",75
"062 : Extraction of natural gas","062","group","2023",65
"062 : Extraction of natural gas","062","group","2024",60
"07 : Mining of metal ores","07","division","2019",5
"07 : Mining of metal ores","07","division","2020",5
"07 : Mining of metal ores","07","division","2021",5
"07 : Mining of metal ores","07","division","2022",5
"07 : Mining of metal ores","07","division","2023",10
"07 : Mining of metal ores","07","division","2024",5
"071 : Mining of iron ores","071","group","2019",0
"071 : Mining of iron ores","071","group","2020",0
"071 : Mining of iron ores","071","group","2021",0
"071 : Mining of iron ores","071","group","2022",0
"071 : Mining of iron ores","071","group","2023",0
"071 : Mining of iron ores","071","group","2024",0
"072 : Mining of non-ferrous metal ores","072","group","2019",5
"072 : Mining of non-ferrous metal ores","072","group","2020",5
"072 : Mining of non-ferrous metal ores","072","group","2021",5
"072 : Mining of non-ferrous metal ores","072","group","2022",5
"072 : Mining of non-ferrous metal ores","072","group","2023",10
"072 : Mining of non-ferrous metal ores","072","group","2024",5
"08 : Other mining and quarrying","08","division","2019",755
"08 : Other mining and quarrying","08","division","2020",760
"08 : Other mining and quarrying","08","division","2021",765
"08 : Other mining and quarrying","08","division","2022",790
"08 : Other mining and quarrying","08","division","2023",785
"08 : Other mining and quarrying","08","division","2024",780
"081 : Quarrying of stone, sand and clay","081","group","2019",385
"081 : Quarrying of stone, sand and clay","081","group","2020",385
"081 : Quarrying of stone, sand and clay","081","group","2021",380
"081 : Quarrying of stone, sand and clay","081","group","2022",370
"081 : Quarrying of stone, sand and clay","081","group","2023",355
"081 : Quarrying of stone, sand and clay","081","group","2024",360
"089 : Mining and quarrying n.e.c.","089","group","2019",370
"089 : Mining and quarrying n.e.c.","089","group","2020",375
"089 : Mining and quarrying n.e.c.","089","group","2021",385
"089 : Mining and quarrying n.e.c.","089","group","2022",420
"089 : Mining and quarrying n.e.c.","089","group","2023",430
"089 : Mining and quarrying n.e.c.","089","group","2024",420
"09 : Mining support service activities","09","division","2019",450
"09 : Mining support service activities","09","division","2020",435
"09 : Mining support service activities","09","division","2021",425
"09 : Mining support service activities","09","division","2022",410
"09 : Mining support service activities","09","division","2023",405
"09 : Mining support service activities","09","division","2024",405
"091 : Support activities for petroleum and natural gas extraction","091","group","2019",235
"091 : Support activities for petroleum and natural gas extraction","091","group","2020",225
"091 : Support activities for petroleum and natural gas extraction","091","group","2021",205
"091 : Support activities for petroleum and natural gas extraction","091","group","2022",180
"091 : Support activities for petroleum and natural gas extraction","091","group","2023",180
"091 : Support activities for petroleum and natural gas extraction","091","group","2024",175
"099 : Support activities for other mining and quarrying","099","group","2019",215
"099 : Support activities for other mining and quarrying","099","group","2020",210
"099 : Support activities for other mining and quarrying","099","group","2021",220
"099 : Support activities for other mining and quarrying","099","group","2022",230
"099 : Support activities for other mining and quarrying","099","group","2023",225
"099 : Support activities for other mining and quarrying","099","group","2024",230
"10 : Manufacture of food products","10","division","2019",9215
"10 : Manufacture of food products","10","division","2020",9615
"10 : Manufacture of food products","10","division","2021",10390
"10 : Manufacture of food products","10","division","2022",11075
"10 : Manufacture of food products","10","division","2023",10760
"10 : Manufacture of food products","10","division","2024",10385
"101 : Processing and preserving of meat and production of meat products","101","group","2019",1070
"101 : Processing and preserving of meat and production of meat products","101","group","2020",1075
"101 : Processing and preserving of meat and production of meat products","101","group","2021",1070
"101 : Processing and preserving of meat and production of meat products","101","group","2022",1305
"101 : Processing and preserving of meat and production of meat products","101","group","2023",1230
"101 : Processing and preserving of meat and production of meat products","101","group","2024",1065
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2019",315
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2020",315
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2021",330
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2022",335
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2023",325
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2024",320
"103 : Processing and preserving of fruit and vegetables","103","group","2019",680
"103 : Processing and preserving of fruit and vegetables","103","group","2020",685
"103 : Processing and preserving of fruit and vegetables","103","group","2021",705
"103 : Processing and preserving of fruit and vegetables","103","group","2022",720
"103 : Processing and preserving of fruit and vegetables","103","group","2023",670
"103 : Processing and preserving of fruit and vegetables","103","group","2024",645
"104 : Manufacture of vegetable and animal oils and fats","104","group","2019",85
"104 : Manufacture of vegetable and animal oils and fats","104","group","2020",85
"104 : Manufacture of vegetable and animal oils and fats","104","group","2021",95
"104 : Manufacture of vegetable and animal oils and fats","104","group","2022",105
