"industry_raw","industry_code","industry_level","year","births_of_new_enterprises"
"05 : Mining of coal and lignite","05","division","2019",0
"05 : Mining of coal and lignite","05","division","2020",0
"05 : Mining of coal and lignite","05","division","2021",0
"05 : Mining of coal and lignite","05","division","2022",0
"05 : Mining of coal and lignite","05","division","2023",0
"05 : Mining of coal and lignite","05","division","2024",0
"051 : Mining of hard coal","051","group","2019",0
"051 : Mining of hard coal","051","group","2020",0
"051 : Mining of hard coal","051","group","2021",0
"051 : Mining of hard coal","051","group","2022",0
"051 : Mining of hard coal","051","group","2023",0
"051 : Mining of hard coal","051","group","2024",0
"052 : Mining of lignite","052","group","2019",0
"052 : Mining of lignite","052","group","2020",0
"052 : Mining of lignite","052","group","2021",0
"052 : Mining of lignite","052","group","2022",0
"052 : Mining of lignite","052","group","2023",0
"052 : Mining of lignite","052","group","2024",0
"06 : Extraction of crude petroleum and natural gas","06","division","2019",25
"06 : Extraction of crude petroleum and natural gas","06","division","2020",20
"06 : Extraction of crude petroleum and natural gas","06","division","2021",15
"06 : Extraction of crude petroleum and natural gas","06","division","2022",15
"06 : Extraction of crude petroleum and natural gas","06","division","2023",5
"06 : Extraction of crude petroleum and natural gas","06","division","2024",10
"061 : Extraction of crude petroleum","061","group","2019",10
"061 : Extraction of crude petroleum","061","group","2020",5
"061 : Extraction of crude petroleum","061","group","2021",5
"061 : Extraction of crude petroleum","061","group","2022",5
"061 : Extraction of crude petroleum","061","group","2023",0
"061 : Extraction of crude petroleum","061","group","2024",0
"062 : Extraction of natural gas","062","group","2019",15
"062 : Extraction of natural gas","062","group","2020",15
"062 : Extraction of natural gas","062","group","2021",10
"062 : Extraction of natural gas","062","group","2022",10
"062 : Extraction of natural gas","062","group","2023",5
"062 : Extraction of natural gas","062","group","2024",10
"07 : Mining of metal ores","07","division","2019",0
"07 : Mining of metal ores","07","division","2020",0
"07 : Mining of metal ores","07","division","2021",5
"07 : Mining of metal ores","07","division","2022",0
"07 : Mining of metal ores","07","division","2023",0
"07 : Mining of metal ores","07","division","2024",0
"071 : Mining of iron ores","071","group","2019",0
"071 : Mining of iron ores","071","group","2020",0
"071 : Mining of iron ores","071","group","2021",0
"071 : Mining of iron ores","071","group","2022",0
"071 : Mining of iron ores","071","group","2023",0
"071 : Mining of iron ores","071","group","2024",0
"072 : Mining of non-ferrous metal ores","072","group","2019",0
"072 : Mining of non-ferrous metal ores","072","group","2020",0
"072 : Mining of non-ferrous metal ores","072","group","2021",5
"072 : Mining of non-ferrous metal ores","072","group","2022",0
"072 : Mining of non-ferrous metal ores","072","group","2023",0
"072 : Mining of non-ferrous metal ores","072","group","2024",0
"08 : Other mining and quarrying","08","division","2019",55
"08 : Other mining and quarrying","08","division","2020",55
"08 : Other mining and quarrying","08","division","2021",70
"08 : Other mining and quarrying","08","division","2022",75
"08 : Other mining and quarrying","08","division","2023",50
"08 : Other mining and quarrying","08","division","2024",45
"081 : Quarrying of stone, sand and clay","081","group","2019",5
"081 : Quarrying of stone, sand and clay","081","group","2020",10
"081 : Quarrying of stone, sand and clay","081","group","2021",15
"081 : Quarrying of stone, sand and clay","081","group","2022",5
"081 : Quarrying of stone, sand and clay","081","group","2023",10
"081 : Quarrying of stone, sand and clay","081","group","2024",10
"089 : Mining and quarrying n.e.c.","089","group","2019",50
"089 : Mining and quarrying n.e.c.","089","group","2020",45
"089 : Mining and quarrying n.e.c.","089","group","2021",55
"089 : Mining and quarrying n.e.c.","089","group","2022",70
"089 : Mining and quarrying n.e.c.","089","group","2023",40
"089 : Mining and quarrying n.e.c.","089","group","2024",35
"09 : Mining support service activities","09","division","2019",65
"09 : Mining support service activities","09","division","2020",40
"09 : Mining support service activities","09","division","2021",35
"09 : Mining support service activities","09","division","2022",30
"09 : Mining support service activities","09","division","2023",50
"09 : Mining support service activities","09","division","2024",40
"091 : Support activities for petroleum and natural gas extraction","091","group","2019",25
"091 : Support activities for petroleum and natural gas extraction","091","group","2020",10
"091 : Support activities for petroleum and natural gas extraction","091","group","2021",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2022",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2023",15
"091 : Support activities for petroleum and natural gas extraction","091","group","2024",5
"099 : Support activities for other mining and quarrying","099","group","2019",40
"099 : Support activities for other mining and quarrying","099","group","2020",30
"099 : Support activities for other mining and quarrying","099","group","2021",30
"099 : Support activities for other mining and quarrying","099","group","2022",25
"099 : Support activities for other mining and quarrying","099","group","2023",35
"099 : Support activities for other mining and quarrying","099","group","2024",35
"10 : Manufacture of food products","10","division","2019",1050
"10 : Manufacture of food products","10","division","2020",1190
"10 : Manufacture of food products","10","division","2021",1530
"10 : Manufacture of food products","10","division","2022",1530
"10 : Manufacture of food products","10","division","2023",980
"10 : Manufacture of food products","10","division","2024",1020
"101 : Processing and preserving of meat and production of meat products","101","group","2019",80
"101 : Processing and preserving of meat and production of meat products","101","group","2020",70
"101 : Processing and preserving of meat and production of meat products","101","group","2021",85
"101 : Processing and preserving of meat and production of meat products","101","group","2022",295
"101 : Processing and preserving of meat and production of meat products","101","group","2023",45
"101 : Processing and preserving of meat and production of meat products","101","group","2024",55
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2019",15
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2020",15
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2021",25
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2022",15
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2023",10
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2024",15
"103 : Processing and preserving of fruit and vegetables","103","group","2019",75
"103 : Processing and preserving of fruit and vegetables","103","group","2020",65
"103 : Processing and preserving of fruit and vegetables","103","group","2021",85
"103 : Processing and preserving of fruit and vegetables","103","group","2022",90
"103 : Processing and preserving of fruit and vegetables","103","group","2023",50
"103 : Processing and preserving of fruit and vegetables","103","group","2024",60
"104 : Manufacture of vegetable and animal oils and fats","104","group","2019",20
"104 : Manufacture of vegetable and animal oils and fats","104","group","2020",15
"104 : Manufacture of vegetable and animal oils and fats","104","group","2021",20
"104 : Manufacture of vegetable and animal oils and fats","104","group","2022",15
"104 : Manufacture of vegetable and animal oils and fats","104","group","2023",10
"104 : Manufacture of vegetable and animal oils and fats","104","group","2024",15
"105 : Manufacture of dairy products","105","group","2019",80
"105 : Manufacture of dairy products","105","group","2020",70
"105 : Manufacture of dairy products","105","group","2021",110
"105 : Manufacture of dairy products","105","group","2022",95
"105 : Manufacture of dairy products","105","group","2023",65
"105 : Manufacture of dairy products","105","group","2024",55
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",25
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",20
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",30
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",30
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",20
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",30
"107 : Manufacture of bakery and farinaceous products","107","group","2019",290
"107 : Manufacture of bakery and farinaceous products","107","group","2020",395
"107 : Manufacture of bakery and farinaceous products","107","group","2021",585
"107 : Manufacture of bakery and farinaceous products","107","group","2022",460
"107 : Manufacture of bakery and farinaceous products","107","group","2023",320
"107 : Manufacture of bakery and farinaceous products","107","group","2024",335
"108 : Manufacture of other food products","108","group","2019",410
