year,industry_raw,industry_code,industry_level,births,survival_of_1_year,percent_of_1_year,survival_of_2_year,percent_of_2_year,survival_of_3_year,percent_of_3_year,survival_of_4_year,percent_of_4_year,survival_of_5_year,percent_of_5_year
2019,05 : Mining of coal and lignite,05,division,0,0,0,0,0,0,0,0,0,0,0
2019,051 : Mining of hard coal,051,group,0,0,0,0,0,0,0,0,0,0,0
2019,052 : Mining of lignite,052,group,0,0,0,0,0,0,0,0,0,0,0
2019,06 : Extraction of crude petroleum and natural gas,06,division,25,20,80,20,80,10,40,10,40,5,20
2019,061 : Extraction of crude petroleum,061,group,10,5,50,5,50,0,0,0,0,0,0
2019,062 : Extraction of natural gas,062,group,15,15,100,15,100,10,66.6666666666667,10,66.6666666666667,5,33.3333333333333
2019,07 : Mining of metal ores,07,division,0,0,0,0,0,0,0,0,0,0,0
2019,071 : Mining of iron ores,071,group,0,0,0,0,0,0,0,0,0,0,0
2019,072 : Mining of non-ferrous metal ores,072,group,0,0,0,0,0,0,0,0,0,0,0
2019,08 : Other mining and quarrying,08,division,55,55,100,45,81.8181818181818,30,54.5454545454545,30,54.5454545454545,25,45.4545454545455
2019,"081 : Quarrying of stone, sand and clay",081,group,5,5,100,5,100,5,100,5,100,5,100
2019,089 : Mining and quarrying n.e.c.,089,group,50,50,100,40,80,25,50,25,50,20,40
2019,09 : Mining support service activities,09,division,65,55,84.6153846153846,45,69.2307692307692,35,53.8461538461538,25,38.4615384615385,25,38.4615384615385
2019,091 : Support activities for petroleum and natural gas extraction,091,group,25,20,80,20,80,15,60,10,40,10,40
2019,099 : Support activities for other mining and quarrying,099,group,40,35,87.5,25,62.5,20,50,15,37.5,15,37.5
2019,10 : Manufacture of food products,10,division,1050,1005,95.7142857142857,815,77.6190476190476,655,62.3809523809524,550,52.3809523809524,475,45.2380952380952
2019,101 : Processing and preserving of meat and production of meat products,101,group,80,75,93.75,60,75,50,62.5,45,56.25,40,50
2019,"102 : Processing and preserving of fish, crustaceans and molluscs",102,group,15,15,100,15,100,15,100,15,100,10,66.6666666666667
2019,103 : Processing and preserving of fruit and vegetables,103,group,75,75,100,60,80,45,60,40,53.3333333333333,35,46.6666666666667
2019,104 : Manufacture of vegetable and animal oils and fats,104,group,20,15,75,10,50,10,50,5,25,5,25
2019,105 : Manufacture of dairy products,105,group,80,75,93.75,60,75,55,68.75,45,56.25,35,43.75
2019,"106 : Manufacture of grain mill products, starches and starch products",106,group,25,20,80,15,60,10,40,10,40,10,40
2019,107 : Manufacture of bakery and farinaceous products,107,group,290,280,96.551724137931,235,81.0344827586207,190,65.5172413793103,160,55.1724137931034,140,48.2758620689655
2019,108 : Manufacture of other food products,108,group,410,400,97.5609756097561,320,78.0487804878049,245,59.7560975609756,200,48.780487804878,170,41.4634146341463
2019,109 : Manufacture of prepared animal feeds,109,group,55,50,90.9090909090909,40,72.7272727272727,35,63.6363636363636,30,54.5454545454545,30,54.5454545454545
2019,11 : Manufacture of beverages,11,division,415,400,96.3855421686747,325,78.3132530120482,265,63.855421686747,235,56.6265060240964,200,48.1927710843374
2019,110 : Manufacture of beverages,110,group,415,400,96.3855421686747,325,78.3132530120482,265,63.855421686747,235,56.6265060240964,200,48.1927710843374
2019,12 : Manufacture of tobacco products,12,division,0,0,0,0,0,0,0,0,0,0,0
2019,120 : Manufacture of tobacco products,120,group,0,0,0,0,0,0,0,0,0,0,0
2019,13 : Manufacture of textiles,13,division,485,450,92.7835051546392,360,74.2268041237113,265,54.639175257732,225,46.3917525773196,200,41.2371134020619
2019,131 : Preparation and spinning of textile fibres,131,group,15,10,66.6666666666667,10,66.6666666666667,5,33.3333333333333,5,33.3333333333333,5,33.3333333333333
2019,132 : Weaving of textiles,132,group,20,20,100,20,100,15,75,15,75,15,75
2019,133 : Finishing of textiles,133,group,145,135,93.1034482758621,100,68.9655172413793,75,51.7241379310345,65,44.8275862068966,55,37.9310344827586
2019,139 : Manufacture of other textiles,139,group,305,285,93.4426229508197,230,75.4098360655738,170,55.7377049180328,140,45.9016393442623,125,40.9836065573771
2019,14 : Manufacture of wearing apparel,14,division,570,545,95.6140350877193,425,74.5614035087719,315,55.2631578947368,240,42.1052631578947,195,34.2105263157895
2019,"141 : Manufacture of wearing apparel, except fur apparel",141,group,555,530,95.4954954954955,415,74.7747747747748,305,54.954954954955,235,42.3423423423423,185,33.3333333333333
2019,142 : Manufacture of articles of fur,142,group,0,0,0,0,0,0,0,0,0,0,0
2019,143 : Manufacture of knitted and crocheted apparel,143,group,15,15,100,10,66.6666666666667,10,66.6666666666667,5,33.3333333333333,10,66.6666666666667
2019,15 : Manufacture of leather and related products,15,division,70,65,92.8571428571429,55,78.5714285714286,35,50,35,50,25,35.7142857142857
2019,"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",151,group,55,50,90.9090909090909,40,72.7272727272727,30,54.5454545454545,30,54.5454545454545,20,36.3636363636364
2019,152 : Manufacture of footwear,152,group,15,15,100,15,100,5,33.3333333333333,5,33.3333333333333,5,33.3333333333333
2019,"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16,division,925,865,93.5135135135135,740,80,635,68.6486486486486,555,60,480,51.8918918918919
2019,161 : Sawmilling and planing of wood,161,group,30,25,83.3333333333333,25,83.3333333333333,20,66.6666666666667,20,66.6666666666667,15,50
2019,"162 : Manufacture of products of wood, cork, straw and plaiting materials",162,group,895,840,93.854748603352,715,79.8882681564246,615,68.7150837988827,535,59.7765363128492,465,51.9553072625698
2019,17 : Manufacture of paper and paper products,17,division,125,115,92,95,76,75,60,65,52,55,44
2019,"171 : Manufacture of pulp, paper and paperboard",171,group,30,25,83.3333333333333,20,66.6666666666667,20,66.6666666666667,15,50,10,33.3333333333333
2019,172 : Manufacture of articles of paper and paperboard,172,group,95,90,94.7368421052632,75,78.9473684210526,55,57.8947368421053,50,52.6315789473684,45,47.3684210526316
2019,18 : Printing and reproduction of recorded media,18,division,850,745,87.6470588235294,515,60.5882352941176,435,51.1764705882353,375,44.1176470588235,335,39.4117647058824
2019,181 : Printing and service activities related to printing,181,group,765,660,86.2745098039216,450,58.8235294117647,380,49.6732026143791,325,42.483660130719,290,37.9084967320261
2019,182 : Reproduction of recorded media,182,group,85,85,100,65,76.4705882352941,55,64.7058823529412,50,58.8235294117647,45,52.9411764705882
2019,19 : Manufacture of coke and refined petroleum products,19,division,5,5,100,0,0,0,0,0,0,0,0
2019,191 : Manufacture of coke oven products,191,group,0,0,0,0,0,0,0,0,0,0,0
2019,192 : Manufacture of refined petroleum products,192,group,5,5,100,0,0,0,0,0,0,0,0
2019,20 : Manufacture of chemicals and chemical products,20,division,350,330,94.2857142857143,255,72.8571428571428,195,55.7142857142857,170,48.5714285714286,145,41.4285714285714
2019,"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",201,group,80,75,93.75,65,81.25,45,56.25,45,56.25,40,50
2019,202 : Manufacture of pesticides and other agrochemical products,202,group,10,10,100,5,50,5,50,0,0,0,0
2019,"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics",203,group,30,30,100,20,66.6666666666667,15,50,10,33.3333333333333,5,16.6666666666667
2019,"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",204,group,160,150,93.75,120,75,95,59.375,85,53.125,75,46.875
2019,205 : Manufacture of other chemical products,205,group,70,65,92.8571428571429,45,64.2857142857143,35,50,30,42.8571428571429,25,35.7142857142857
2019,206 : Manufacture of man-made fibres,206,group,0,0,0,0,0,0,0,0,0,0,0
2019,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,division,90,85,94.4444444444444,65,72.2222222222222,50,55.5555555555556,45,50,35,38.8888888888889
2019,211 : Manufacture of basic pharmaceutical products,211,group,35,35,100,20,57.1428571428571,15,42.8571428571429,15,42.8571428571429,10,28.5714285714286
2019,212 : Manufacture of pharmaceutical preparations,212,group,55,50,90.9090909090909,45,81.8181818181818,35,63.6363636363636,30,54.5454545454545,25,45.4545454545455
2019,22 : Manufacture of rubber and plastic products,22,division,280,270,96.4285714285714,210,75,175,62.5,160,57.1428571428571,135,48.2142857142857
2019,221 : Manufacture of rubber products,221,group,25,25,100,20,80,15,60,15,60,10,40
2019,222 : Manufacture of plastics products,222,group,255,245,96.078431372549,190,74.5098039215686,160,62.7450980392157,145,56.8627450980392,125,49.0196078431373
2019,23 : Manufacture of other non-metallic mineral products,23,division,310,290,93.5483870967742,245,79.0322580645161,210,67.741935483871,185,59.6774193548387,155,50
2019,231 : Manufacture of glass and glass products,231,group,50,45,90,35,70,30,60,30,60,25,50
2019,232 : Manufacture of refractory products,232,group,5,5,100,5,100,5,100,5,100,0,0
2019,233 : Manufacture of clay building materials,233,group,15,15,100,15,100,15,100,10,66.6666666666667,10,66.6666666666667
2019,234 : Manufacture of other porcelain and ceramic products,234,group,35,30,85.7142857142857,25,71.4285714285714,20,57.1428571428571,15,42.8571428571429,15,42.8571428571429
2019,"235 : Manufacture of cement, lime and plaster",235,group,0,0,0,0,0,0,0,0,0,0,0
2019,"236 : Manufacture of articles of concrete, cement and plaster",236,group,105,100,95.2380952380952,80,76.1904761904762,70,66.6666666666667,65,61.9047619047619,55,52.3809523809524
2019,"237 : Cutting, shaping and finishing of stone",237,group,70,65,92.8571428571429,60,85.7142857142857,45,64.2857142857143,40,57.1428571428571,35,50
2019,239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.,239,group,30,30,100,25,83.3333333333333,25,83.3333333333333,20,66.6666666666667,15,50
2019,24 : Manufacture of basic metals,24,division,205,195,95.1219512195122,160,78.0487804878049,130,63.4146341463415,105,51.219512195122,95,46.3414634146341
2019,241 : Manufacture of basic iron and steel and of ferro-alloys,241,group,115,110,95.6521739130435,90,78.2608695652174,75,65.2173913043478,65,56.5217391304348,55,47.8260869565217
2019,"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",242,group,35,35,100,30,85.7142857142857,20,57.1428571428571,15,42.8571428571429,15,42.8571428571429
2019,243 : Manufacture of other products of first processing of steel,243,group,5,5,100,0,0,0,0,0,0,0,0
2019,244 : Manufacture of basic precious and other non-ferrous metals,244,group,30,30,100,25,83.3333333333333,20,66.6666666666667,15,50,15,50
2019,245 : Casting of metals,245,group,20,15,75,15,75,15,75,10,50,10,50
2019,"25 : Manufacture of fabricated metal products, except machinery and equipment",25,division,1410,1325,93.9716312056738,1100,78.0141843971631,870,61.7021276595745,745,52.8368794326241,655,46.4539007092199
2019,251 : Manufacture of structural metal products,251,group,405,380,93.8271604938272,310,76.5432098765432,235,58.0246913580247,200,49.3827160493827,185,45.679012345679
2019,"252 : Manufacture of tanks, reservoirs and containers of metal",252,group,15,15,100,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667,5,33.3333333333333
2019,"253 : Manufacture of steam generators, except central heating hot water boilers",253,group,0,5,0,5,0,0,0,0,0,0,0
2019,254 : Manufacture of weapons and ammunition,254,group,10,5,50,5,50,5,50,5,50,5,50
2019,"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy",255,group,30,25,83.3333333333333,20,66.6666666666667,15,50,15,50,10,33.3333333333333
2019,256 : Treatment and coating of metals; machining,256,group,625,590,94.4,500,80,410,65.6,345,55.2,310,49.6
2019,"257 : Manufacture of cutlery, tools and general hardware",257,group,90,80,88.8888888888889,65,72.2222222222222,55,61.1111111111111,50,55.5555555555556,40,44.4444444444444
2019,259 : Manufacture of other fabricated metal products,259,group,235,225,95.7446808510638,185,78.7234042553192,140,59.5744680851064,120,51.063829787234,100,42.5531914893617
2019,"26 : Manufacture of computer, electronic and optical products",26,division,490,460,93.8775510204082,360,73.469387755102,275,56.1224489795918,235,47.9591836734694,215,43.8775510204082
2019,261 : Manufacture of electronic components and boards,261,group,65,60,92.3076923076923,50,76.9230769230769,30,46.1538461538462,25,38.4615384615385,25,38.4615384615385
2019,262 : Manufacture of computers and peripheral equipment,262,group,80,75,93.75,55,68.75,40,50,30,37.5,25,31.25
2019,263 : Manufacture of communication equipment,263,group,110,105,95.4545454545455,80,72.7272727272727,60,54.5454545454545,55,50,50,45.4545454545455
2019,264 : Manufacture of consumer electronics,264,group,60,55,91.6666666666667,45,75,30,50,25,41.6666666666667,20,33.3333333333333
2019,"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",265,group,100,95,95,75,75,60,60,55,55,50,50
2019,"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment",266,group,15,15,100,5,33.3333333333333,5,33.3333333333333,5,33.3333333333333,5,33.3333333333333
2019,267 : Manufacture of optical instruments and photographic equipment,267,group,55,55,100,50,90.9090909090909,45,81.8181818181818,40,72.7272727272727,40,72.7272727272727
2019,268 : Manufacture of magnetic and optical media,268,group,5,0,0,0,0,5,100,0,0,0,0
2019,27 : Manufacture of electrical equipment,27,division,255,240,94.1176470588235,190,74.5098039215686,145,56.8627450980392,120,47.0588235294118,105,41.1764705882353
2019,"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",271,group,50,45,90,40,80,30,60,25,50,20,40
2019,272 : Manufacture of batteries and accumulators,272,group,15,15,100,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667
2019,273 : Manufacture of wiring and wiring devices,273,group,35,35,100,25,71.4285714285714,20,57.1428571428571,10,28.5714285714286,10,28.5714285714286
2019,274 : Manufacture of electric lighting equipment,274,group,55,55,100,45,81.8181818181818,35,63.6363636363636,35,63.6363636363636,25,45.4545454545455
2019,275 : Manufacture of domestic appliances,275,group,40,35,87.5,25,62.5,15,37.5,10,25,10,25
