"industry_raw","industry_code","industry_level","year","deaths_of_new_enterprises"
"05 : Mining of coal and lignite","05","division","2019",0
"05 : Mining of coal and lignite","05","division","2020",0
"05 : Mining of coal and lignite","05","division","2021",0
"05 : Mining of coal and lignite","05","division","2022",0
"05 : Mining of coal and lignite","05","division","2023",0
"05 : Mining of coal and lignite","05","division","2024",0
"051 : Mining of hard coal","051","group","2019",0
"051 : Mining of hard coal","051","group","2020",0
"051 : Mining of hard coal","051","group","2021",0
"051 : Mining of hard coal","051","group","2022",0
"051 : Mining of hard coal","051","group","2023",0
"051 : Mining of hard coal","051","group","2024",0
"052 : Mining of lignite","052","group","2019",0
"052 : Mining of lignite","052","group","2020",0
"052 : Mining of lignite","052","group","2021",0
"052 : Mining of lignite","052","group","2022",0
"052 : Mining of lignite","052","group","2023",0
"052 : Mining of lignite","052","group","2024",0
"06 : Extraction of crude petroleum and natural gas","06","division","2019",15
"06 : Extraction of crude petroleum and natural gas","06","division","2020",15
"06 : Extraction of crude petroleum and natural gas","06","division","2021",15
"06 : Extraction of crude petroleum and natural gas","06","division","2022",15
"06 : Extraction of crude petroleum and natural gas","06","division","2023",20
"06 : Extraction of crude petroleum and natural gas","06","division","2024",5
"061 : Extraction of crude petroleum","061","group","2019",5
"061 : Extraction of crude petroleum","061","group","2020",5
"061 : Extraction of crude petroleum","061","group","2021",0
"061 : Extraction of crude petroleum","061","group","2022",0
"061 : Extraction of crude petroleum","061","group","2023",0
"061 : Extraction of crude petroleum","061","group","2024",0
"062 : Extraction of natural gas","062","group","2019",10
"062 : Extraction of natural gas","062","group","2020",10
"062 : Extraction of natural gas","062","group","2021",15
"062 : Extraction of natural gas","062","group","2022",15
"062 : Extraction of natural gas","062","group","2023",20
"062 : Extraction of natural gas","062","group","2024",5
"07 : Mining of metal ores","07","division","2019",0
"07 : Mining of metal ores","07","division","2020",0
"07 : Mining of metal ores","07","division","2021",0
"07 : Mining of metal ores","07","division","2022",0
"07 : Mining of metal ores","07","division","2023",0
"07 : Mining of metal ores","07","division","2024",0
"071 : Mining of iron ores","071","group","2019",0
"071 : Mining of iron ores","071","group","2020",0
"071 : Mining of iron ores","071","group","2021",0
"071 : Mining of iron ores","071","group","2022",0
"071 : Mining of iron ores","071","group","2023",0
"071 : Mining of iron ores","071","group","2024",0
"072 : Mining of non-ferrous metal ores","072","group","2019",0
"072 : Mining of non-ferrous metal ores","072","group","2020",0
"072 : Mining of non-ferrous metal ores","072","group","2021",0
"072 : Mining of non-ferrous metal ores","072","group","2022",0
"072 : Mining of non-ferrous metal ores","072","group","2023",0
"072 : Mining of non-ferrous metal ores","072","group","2024",0
"08 : Other mining and quarrying","08","division","2019",45
"08 : Other mining and quarrying","08","division","2020",50
"08 : Other mining and quarrying","08","division","2021",40
"08 : Other mining and quarrying","08","division","2022",65
"08 : Other mining and quarrying","08","division","2023",55
"08 : Other mining and quarrying","08","division","2024",80
"081 : Quarrying of stone, sand and clay","081","group","2019",10
"081 : Quarrying of stone, sand and clay","081","group","2020",15
"081 : Quarrying of stone, sand and clay","081","group","2021",5
"081 : Quarrying of stone, sand and clay","081","group","2022",10
"081 : Quarrying of stone, sand and clay","081","group","2023",10
"081 : Quarrying of stone, sand and clay","081","group","2024",15
"089 : Mining and quarrying n.e.c.","089","group","2019",35
"089 : Mining and quarrying n.e.c.","089","group","2020",35
"089 : Mining and quarrying n.e.c.","089","group","2021",35
"089 : Mining and quarrying n.e.c.","089","group","2022",55
"089 : Mining and quarrying n.e.c.","089","group","2023",45
"089 : Mining and quarrying n.e.c.","089","group","2024",65
"09 : Mining support service activities","09","division","2019",40
"09 : Mining support service activities","09","division","2020",40
"09 : Mining support service activities","09","division","2021",40
"09 : Mining support service activities","09","division","2022",50
"09 : Mining support service activities","09","division","2023",40
"09 : Mining support service activities","09","division","2024",25
"091 : Support activities for petroleum and natural gas extraction","091","group","2019",15
"091 : Support activities for petroleum and natural gas extraction","091","group","2020",20
"091 : Support activities for petroleum and natural gas extraction","091","group","2021",20
"091 : Support activities for petroleum and natural gas extraction","091","group","2022",15
"091 : Support activities for petroleum and natural gas extraction","091","group","2023",15
"091 : Support activities for petroleum and natural gas extraction","091","group","2024",5
"099 : Support activities for other mining and quarrying","099","group","2019",25
"099 : Support activities for other mining and quarrying","099","group","2020",20
"099 : Support activities for other mining and quarrying","099","group","2021",20
"099 : Support activities for other mining and quarrying","099","group","2022",35
"099 : Support activities for other mining and quarrying","099","group","2023",25
"099 : Support activities for other mining and quarrying","099","group","2024",20
"10 : Manufacture of food products","10","division","2019",785
"10 : Manufacture of food products","10","division","2020",710
"10 : Manufacture of food products","10","division","2021",720
"10 : Manufacture of food products","10","division","2022",1160
"10 : Manufacture of food products","10","division","2023",1340
"10 : Manufacture of food products","10","division","2024",910
"101 : Processing and preserving of meat and production of meat products","101","group","2019",65
"101 : Processing and preserving of meat and production of meat products","101","group","2020",55
"101 : Processing and preserving of meat and production of meat products","101","group","2021",60
"101 : Processing and preserving of meat and production of meat products","101","group","2022",110
"101 : Processing and preserving of meat and production of meat products","101","group","2023",220
"101 : Processing and preserving of meat and production of meat products","101","group","2024",55
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2019",15
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2020",10
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2021",10
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2022",20
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2023",25
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2024",20
"103 : Processing and preserving of fruit and vegetables","103","group","2019",60
"103 : Processing and preserving of fruit and vegetables","103","group","2020",55
"103 : Processing and preserving of fruit and vegetables","103","group","2021",50
"103 : Processing and preserving of fruit and vegetables","103","group","2022",85
"103 : Processing and preserving of fruit and vegetables","103","group","2023",80
"103 : Processing and preserving of fruit and vegetables","103","group","2024",65
"104 : Manufacture of vegetable and animal oils and fats","104","group","2019",5
"104 : Manufacture of vegetable and animal oils and fats","104","group","2020",10
"104 : Manufacture of vegetable and animal oils and fats","104","group","2021",10
"104 : Manufacture of vegetable and animal oils and fats","104","group","2022",10
"104 : Manufacture of vegetable and animal oils and fats","104","group","2023",20
"104 : Manufacture of vegetable and animal oils and fats","104","group","2024",5
"105 : Manufacture of dairy products","105","group","2019",50
"105 : Manufacture of dairy products","105","group","2020",55
"105 : Manufacture of dairy products","105","group","2021",30
"105 : Manufacture of dairy products","105","group","2022",75
"105 : Manufacture of dairy products","105","group","2023",95
"105 : Manufacture of dairy products","105","group","2024",55
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",10
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",15
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",10
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",20
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",30
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",15
"107 : Manufacture of bakery and farinaceous products","107","group","2019",325
"107 : Manufacture of bakery and farinaceous products","107","group","2020",255
"107 : Manufacture of bakery and farinaceous products","107","group","2021",260
"107 : Manufacture of bakery and farinaceous products","107","group","2022",440
"107 : Manufacture of bakery and farinaceous products","107","group","2023",440
"107 : Manufacture of bakery and farinaceous products","107","group","2024",325
"108 : Manufacture of other food products","108","group","2019",235
