"industry_raw","industry_code","industry_level","year","high_growth_enterprises"
"05 : Mining of coal and lignite","05","division","2019",0
"05 : Mining of coal and lignite","05","division","2020",0
"05 : Mining of coal and lignite","05","division","2021",0
"05 : Mining of coal and lignite","05","division","2022",0
"05 : Mining of coal and lignite","05","division","2023",0
"05 : Mining of coal and lignite","05","division","2024",0
"051 : Mining of hard coal","051","group","2019",0
"051 : Mining of hard coal","051","group","2020",0
"051 : Mining of hard coal","051","group","2021",0
"051 : Mining of hard coal","051","group","2022",0
"051 : Mining of hard coal","051","group","2023",0
"051 : Mining of hard coal","051","group","2024",0
"052 : Mining of lignite","052","group","2019",0
"052 : Mining of lignite","052","group","2020",0
"052 : Mining of lignite","052","group","2021",0
"052 : Mining of lignite","052","group","2022",0
"052 : Mining of lignite","052","group","2023",0
"052 : Mining of lignite","052","group","2024",0
"06 : Extraction of crude petroleum and natural gas","06","division","2019",0
"06 : Extraction of crude petroleum and natural gas","06","division","2020",0
"06 : Extraction of crude petroleum and natural gas","06","division","2021",5
"06 : Extraction of crude petroleum and natural gas","06","division","2022",5
"06 : Extraction of crude petroleum and natural gas","06","division","2023",5
"06 : Extraction of crude petroleum and natural gas","06","division","2024",5
"061 : Extraction of crude petroleum","061","group","2019",0
"061 : Extraction of crude petroleum","061","group","2020",0
"061 : Extraction of crude petroleum","061","group","2021",5
"061 : Extraction of crude petroleum","061","group","2022",5
"061 : Extraction of crude petroleum","061","group","2023",5
"061 : Extraction of crude petroleum","061","group","2024",5
"062 : Extraction of natural gas","062","group","2019",0
"062 : Extraction of natural gas","062","group","2020",0
"062 : Extraction of natural gas","062","group","2021",0
"062 : Extraction of natural gas","062","group","2022",0
"062 : Extraction of natural gas","062","group","2023",0
"062 : Extraction of natural gas","062","group","2024",0
"07 : Mining of metal ores","07","division","2019",0
"07 : Mining of metal ores","07","division","2020",0
"07 : Mining of metal ores","07","division","2021",0
"07 : Mining of metal ores","07","division","2022",0
"07 : Mining of metal ores","07","division","2023",0
"07 : Mining of metal ores","07","division","2024",0
"071 : Mining of iron ores","071","group","2019",0
"071 : Mining of iron ores","071","group","2020",0
"071 : Mining of iron ores","071","group","2021",0
"071 : Mining of iron ores","071","group","2022",0
"071 : Mining of iron ores","071","group","2023",0
"071 : Mining of iron ores","071","group","2024",0
"072 : Mining of non-ferrous metal ores","072","group","2019",0
"072 : Mining of non-ferrous metal ores","072","group","2020",0
"072 : Mining of non-ferrous metal ores","072","group","2021",0
"072 : Mining of non-ferrous metal ores","072","group","2022",0
"072 : Mining of non-ferrous metal ores","072","group","2023",0
"072 : Mining of non-ferrous metal ores","072","group","2024",0
"08 : Other mining and quarrying","08","division","2019",20
"08 : Other mining and quarrying","08","division","2020",15
"08 : Other mining and quarrying","08","division","2021",5
"08 : Other mining and quarrying","08","division","2022",0
"08 : Other mining and quarrying","08","division","2023",5
"08 : Other mining and quarrying","08","division","2024",5
"081 : Quarrying of stone, sand and clay","081","group","2019",20
"081 : Quarrying of stone, sand and clay","081","group","2020",15
"081 : Quarrying of stone, sand and clay","081","group","2021",5
"081 : Quarrying of stone, sand and clay","081","group","2022",0
"081 : Quarrying of stone, sand and clay","081","group","2023",5
"081 : Quarrying of stone, sand and clay","081","group","2024",0
"089 : Mining and quarrying n.e.c.","089","group","2019",0
"089 : Mining and quarrying n.e.c.","089","group","2020",0
"089 : Mining and quarrying n.e.c.","089","group","2021",0
"089 : Mining and quarrying n.e.c.","089","group","2022",0
"089 : Mining and quarrying n.e.c.","089","group","2023",0
"089 : Mining and quarrying n.e.c.","089","group","2024",5
"09 : Mining support service activities","09","division","2019",0
"09 : Mining support service activities","09","division","2020",0
"09 : Mining support service activities","09","division","2021",5
"09 : Mining support service activities","09","division","2022",5
"09 : Mining support service activities","09","division","2023",5
"09 : Mining support service activities","09","division","2024",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2019",0
"091 : Support activities for petroleum and natural gas extraction","091","group","2020",0
"091 : Support activities for petroleum and natural gas extraction","091","group","2021",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2022",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2023",5
"091 : Support activities for petroleum and natural gas extraction","091","group","2024",5
"099 : Support activities for other mining and quarrying","099","group","2019",0
"099 : Support activities for other mining and quarrying","099","group","2020",0
"099 : Support activities for other mining and quarrying","099","group","2021",0
"099 : Support activities for other mining and quarrying","099","group","2022",0
"099 : Support activities for other mining and quarrying","099","group","2023",0
"099 : Support activities for other mining and quarrying","099","group","2024",0
"10 : Manufacture of food products","10","division","2019",140
"10 : Manufacture of food products","10","division","2020",125
"10 : Manufacture of food products","10","division","2021",115
"10 : Manufacture of food products","10","division","2022",130
"10 : Manufacture of food products","10","division","2023",150
"10 : Manufacture of food products","10","division","2024",165
"101 : Processing and preserving of meat and production of meat products","101","group","2019",10
"101 : Processing and preserving of meat and production of meat products","101","group","2020",15
"101 : Processing and preserving of meat and production of meat products","101","group","2021",20
"101 : Processing and preserving of meat and production of meat products","101","group","2022",20
"101 : Processing and preserving of meat and production of meat products","101","group","2023",20
"101 : Processing and preserving of meat and production of meat products","101","group","2024",20
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2019",5
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2020",5
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2021",5
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2022",5
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2023",5
"102 : Processing and preserving of fish, crustaceans and molluscs","102","group","2024",5
"103 : Processing and preserving of fruit and vegetables","103","group","2019",10
"103 : Processing and preserving of fruit and vegetables","103","group","2020",5
"103 : Processing and preserving of fruit and vegetables","103","group","2021",5
"103 : Processing and preserving of fruit and vegetables","103","group","2022",10
"103 : Processing and preserving of fruit and vegetables","103","group","2023",10
"103 : Processing and preserving of fruit and vegetables","103","group","2024",10
"104 : Manufacture of vegetable and animal oils and fats","104","group","2019",0
"104 : Manufacture of vegetable and animal oils and fats","104","group","2020",0
"104 : Manufacture of vegetable and animal oils and fats","104","group","2021",0
"104 : Manufacture of vegetable and animal oils and fats","104","group","2022",0
"104 : Manufacture of vegetable and animal oils and fats","104","group","2023",0
"104 : Manufacture of vegetable and animal oils and fats","104","group","2024",0
"105 : Manufacture of dairy products","105","group","2019",15
"105 : Manufacture of dairy products","105","group","2020",10
"105 : Manufacture of dairy products","105","group","2021",15
"105 : Manufacture of dairy products","105","group","2022",10
"105 : Manufacture of dairy products","105","group","2023",15
"105 : Manufacture of dairy products","105","group","2024",15
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",5
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",5
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",0
"107 : Manufacture of bakery and farinaceous products","107","group","2019",35
"107 : Manufacture of bakery and farinaceous products","107","group","2020",30
"107 : Manufacture of bakery and farinaceous products","107","group","2021",25
"107 : Manufacture of bakery and farinaceous products","107","group","2022",35
"107 : Manufacture of bakery and farinaceous products","107","group","2023",35
"107 : Manufacture of bakery and farinaceous products","107","group","2024",50
"108 : Manufacture of other food products","108","group","2019",50
